,Country,Country Code,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol Consumption per Capita (liter),equal_or_lower_than_5.41?
102,Cambodia,KHM,4.433,0.5489999999999999,1.088,0.457,0.696,0.256,0.065,6.64,True
103,Burkina Faso,BFA,4.4239999999999995,0.314,1.097,0.254,0.312,0.175,0.128,12.03,True
104,Mozambique,MOZ,4.417,0.198,0.902,0.17300000000000001,0.531,0.20600000000000002,0.158,2.3,True
105,Kenya,KEN,4.41,0.493,1.048,0.45399999999999996,0.504,0.35200000000000004,0.055,2.78,True
106,Zambia,ZMB,4.377,0.562,1.047,0.295,0.503,0.221,0.08199999999999999,6.54,True
107,Mauritania,MRT,4.356,0.557,1.245,0.292,0.129,0.134,0.09300000000000001,0.036000000000000004,True
108,Ethiopia,ETH,4.35,0.308,0.95,0.391,0.452,0.22,0.146,2.36,True
109,Georgia,GEO,4.34,0.853,0.5920000000000001,0.643,0.375,0.038,0.215,8.25,True
110,Armenia,ARM,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.077,0.027999999999999997,5.55,True
111,Myanmar,MMR,4.308,0.682,1.1740000000000002,0.429,0.58,0.598,0.17800000000000002,5.12,True
112,Chad,TCD,4.301,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06,1.37,True
113,India,IND,4.19,0.721,0.747,0.485,0.539,0.172,0.09300000000000001,5.54,True
114,Niger,NER,4.166,0.131,0.867,0.221,0.39,0.175,0.099,0.67,True
115,Uganda,UGA,4.1610000000000005,0.322,1.09,0.237,0.45,0.259,0.061,15.09,True
116,Benin,BEN,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.163,0.067,2.81,True
117,Sudan,SDN,4.138999999999999,0.605,1.24,0.312,0.016,0.134,0.08199999999999999,0.51,True
118,Ukraine,UKR,4.103,0.7929999999999999,1.413,0.609,0.163,0.187,0.011000000000000001,8.32,True
